index,Suburb,Rooms,Type,Price,Method,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,avg_dayly_price,avg_weekly_price,avg_montly_price
23,Abbotsford,2,u,500000.0,S,2.5,3067.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-37.8015,144.9972,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
24,Abbotsford,2,h,1100000.0,PI,2.5,3067.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
25,Abbotsford,2,h,1315000.0,S,2.5,3067.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
26,Abbotsford,1,u,426000.0,SP,2.5,3067.0,1.0,1.0,0.0,,,Yarra,-37.8016,144.9988,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
27,Abbotsford,3,h,1447500.0,PI,2.5,3067.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
28,Abbotsford,1,u,457000.0,S,2.5,3067.0,1.0,1.0,0.0,50.0,,Yarra,-37.8078,144.9965,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
29,Abbotsford,2,h,1135000.0,S,2.5,3067.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
30,Abbotsford,4,h,1542000.0,S,2.5,3067.0,3.0,1.0,0.0,,,Yarra,-37.7994,144.9965,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
31,Abbotsford,3,h,1290000.0,S,2.5,3067.0,2.0,2.0,147.0,18.0,,Yarra,-37.805,144.9943,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
32,Abbotsford,3,h,1290000.0,S,2.5,3067.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
33,Abbotsford,1,u,470000.0,S,2.5,3067.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
34,Abbotsford,2,h,1180000.0,S,2.5,3067.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
35,Abbotsford,3,h,1195000.0,SP,2.5,3067.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
36,Abbotsford,2,h,1012500.0,S,2.5,3067.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
37,Abbotsford,2,h,1030000.0,S,2.5,3067.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
38,Airport West,3,t,840000.0,PI,13.5,3042.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,81.57142857142857,568.2,1800.75
39,Airport West,3,h,730000.0,VB,13.5,3042.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,81.57142857142857,568.2,1800.75
40,Airport West,3,h,770000.0,SP,13.5,3042.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,81.57142857142857,568.2,1800.75
41,Airport West,2,h,603000.0,S,13.5,3042.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,81.57142857142857,568.2,1800.75
42,Airport West,3,t,700000.0,S,13.5,3042.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,81.57142857142857,568.2,1800.75
43,Airport West,3,h,600000.0,S,13.5,3042.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,81.57142857142857,568.2,1800.75
44,Airport West,2,u,500000.0,VB,13.5,3042.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,81.57142857142857,568.2,1800.75
45,Airport West,3,h,720000.0,S,13.5,3042.0,1.0,1.0,620.0,,,Moonee Valley,-37.7173,144.8872,Western Metropolitan,81.57142857142857,568.2,1800.75
46,Airport West,4,h,785000.0,S,13.5,3042.0,1.0,2.0,597.0,127.0,,Moonee Valley,-37.7259,144.8792,Western Metropolitan,81.57142857142857,568.2,1800.75
47,Airport West,6,h,725000.0,SP,13.5,3042.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,81.57142857142857,568.2,1800.75
48,Airport West,2,t,450000.0,S,13.5,3042.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,81.57142857142857,568.2,1800.75
49,Airport West,2,u,515000.0,S,13.5,3042.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,81.57142857142857,568.2,1800.75
50,Airport West,2,u,530000.0,S,13.5,3042.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,81.57142857142857,568.2,1800.75
51,Airport West,3,h,895000.0,PI,13.5,3042.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,81.57142857142857,568.2,1800.75
52,Airport West,3,h,805000.0,S,13.5,3042.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,81.57142857142857,568.2,1800.75
53,Airport West,3,u,752000.0,S,13.5,3042.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,81.57142857142857,568.2,1800.75
54,Airport West,2,u,440000.0,S,13.5,3042.0,1.0,1.0,192.0,,,Moonee Valley,-37.7177,144.8787,Western Metropolitan,81.57142857142857,568.2,1800.75
55,Airport West,5,h,755000.0,PI,13.5,3042.0,2.0,2.0,596.0,,,Moonee Valley,-37.7248,144.8699,Western Metropolitan,81.57142857142857,568.2,1800.75
56,Airport West,3,t,700000.0,PI,13.5,3042.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,Western Metropolitan,81.57142857142857,568.2,1800.75
57,Airport West,3,h,830000.0,S,13.5,3042.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,81.57142857142857,568.2,1800.75
58,Airport West,2,u,462500.0,S,13.5,3042.0,1.0,1.0,164.0,,2003.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,81.57142857142857,568.2,1800.75
59,Airport West,3,h,670000.0,SP,13.5,3042.0,2.0,2.0,657.0,,,Moonee Valley,-37.7269,144.8742,Western Metropolitan,81.57142857142857,568.2,1800.75
60,Airport West,2,h,675000.0,S,13.5,3042.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,81.57142857142857,568.2,1800.75
61,Airport West,3,h,1042000.0,S,13.5,3042.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,81.57142857142857,568.2,1800.75
62,Airport West,3,h,910000.0,S,13.5,3042.0,1.0,1.0,775.0,,,Moonee Valley,-37.7231,144.8835,Western Metropolitan,81.57142857142857,568.2,1800.75
63,Airport West,4,h,773000.0,S,13.5,3042.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,81.57142857142857,568.2,1800.75
64,Airport West,3,h,810000.0,PI,13.5,3042.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,81.57142857142857,568.2,1800.75
65,Airport West,3,h,715000.0,S,13.5,3042.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,81.57142857142857,568.2,1800.75
66,Airport West,3,h,790000.0,S,13.5,3042.0,1.0,3.0,614.0,,,Moonee Valley,-37.7194,144.8827,Western Metropolitan,81.57142857142857,568.2,1800.75
67,Airport West,3,t,540000.0,SP,13.5,3042.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,81.57142857142857,568.2,1800.75
68,Airport West,3,t,825000.0,SP,13.5,3042.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,81.57142857142857,568.2,1800.75
69,Airport West,3,h,685000.0,S,13.5,3042.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,81.57142857142857,568.2,1800.75
70,Airport West,3,h,805000.0,S,13.5,3042.0,1.0,1.0,623.0,,,Moonee Valley,-37.7184,144.882,Western Metropolitan,81.57142857142857,568.2,1800.75
71,Airport West,2,u,510000.0,S,13.5,3042.0,1.0,1.0,141.0,76.0,,Moonee Valley,-37.7202,144.8797,Western Metropolitan,81.57142857142857,568.2,1800.75
72,Airport West,3,h,612000.0,S,13.5,3042.0,2.0,1.0,212.0,,,Moonee Valley,-37.7181,144.8824,Western Metropolitan,81.57142857142857,568.2,1800.75
73,Airport West,3,h,662000.0,S,13.5,3042.0,1.0,2.0,612.0,,,Moonee Valley,-37.7169,144.8815,Western Metropolitan,81.57142857142857,568.2,1800.75
74,Airport West,4,h,978000.0,S,13.5,3042.0,3.0,2.0,532.0,,,Moonee Valley,-37.7263,144.869,Western Metropolitan,81.57142857142857,568.2,1800.75
75,Airport West,3,h,720000.0,PI,13.5,3042.0,1.0,1.0,585.0,,,Moonee Valley,-37.72,144.878,Western Metropolitan,81.57142857142857,568.2,1800.75
76,Airport West,4,h,765000.0,S,13.5,3042.0,1.0,2.0,509.0,,,Moonee Valley,-37.7261,144.8785,Western Metropolitan,81.57142857142857,568.2,1800.75
77,Airport West,4,h,900000.0,S,13.5,3042.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,81.57142857142857,568.2,1800.75
78,Albert Park,2,h,1275000.0,S,3.3,3206.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,229.41803278688525,1187.4,3734.0
79,Albert Park,2,h,1455000.0,S,3.3,3206.0,1.0,0.0,159.0,,,Port Phillip,-37.845,144.9538,Southern Metropolitan,229.41803278688525,1187.4,3734.0
82,Albert Park,2,h,1436000.0,S,3.3,3206.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,229.41803278688525,1187.4,3734.0
83,Albert Park,2,h,1110000.0,S,3.3,3206.0,1.0,0.0,147.0,,1900.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan,229.41803278688525,1187.4,3734.0
84,Albert Park,2,h,1550000.0,S,3.3,3206.0,1.0,1.0,167.0,,,Port Phillip,-37.8405,144.9521,Southern Metropolitan,229.41803278688525,1187.4,3734.0
86,Albert Park,3,t,1550000.0,VB,3.3,3206.0,2.0,2.0,718.0,,,Port Phillip,-37.8443,144.9598,Southern Metropolitan,229.41803278688525,1187.4,3734.0
87,Albert Park,3,h,1800000.0,VB,3.3,3206.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,229.41803278688525,1187.4,3734.0
88,Albert Park,2,h,2120000.0,S,3.3,3206.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,229.41803278688525,1187.4,3734.0
89,Albert Park,3,h,1800000.0,VB,3.3,3206.0,1.0,1.0,253.0,,,Port Phillip,-37.8443,144.9579,Southern Metropolitan,229.41803278688525,1187.4,3734.0
90,Albert Park,3,h,1800000.0,S,3.3,3206.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,229.41803278688525,1187.4,3734.0
91,Albert Park,2,h,1810000.0,PI,3.3,3206.0,1.0,0.0,240.0,,,Port Phillip,-37.8379,144.9539,Southern Metropolitan,229.41803278688525,1187.4,3734.0
93,Albert Park,5,h,2100000.0,S,3.3,3206.0,2.0,1.0,237.0,,,Port Phillip,-37.8436,144.9557,Southern Metropolitan,229.41803278688525,1187.4,3734.0
94,Albert Park,3,h,1300000.0,S,3.3,3206.0,1.0,0.0,129.0,,,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,229.41803278688525,1187.4,3734.0
95,Albert Park,3,h,1370000.0,S,3.3,3206.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,229.41803278688525,1187.4,3734.0
96,Albert Park,2,h,1000000.0,S,3.3,3206.0,1.0,0.0,288.0,,,Port Phillip,-37.8407,144.9523,Southern Metropolitan,229.41803278688525,1187.4,3734.0
97,Albert Park,3,h,2575000.0,S,3.3,3206.0,2.0,1.0,228.0,,,Port Phillip,-37.8445,144.9501,Southern Metropolitan,229.41803278688525,1187.4,3734.0
100,Albert Park,3,h,2000000.0,VB,3.3,3206.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,229.41803278688525,1187.4,3734.0
101,Albert Park,3,h,1900000.0,S,3.3,3206.0,1.0,0.0,209.0,,1900.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan,229.41803278688525,1187.4,3734.0
103,Albert Park,4,h,2800000.0,VB,3.3,3206.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,229.41803278688525,1187.4,3734.0
104,Albert Park,2,u,647000.0,S,3.3,3206.0,1.0,1.0,0.0,,,Port Phillip,-37.846,144.9542,Southern Metropolitan,229.41803278688525,1187.4,3734.0
105,Albert Park,3,h,2100000.0,SP,3.3,3206.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,229.41803278688525,1187.4,3734.0
107,Albert Park,1,u,442500.0,S,3.3,3206.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,229.41803278688525,1187.4,3734.0
108,Albert Park,4,h,4735000.0,S,3.3,3206.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,229.41803278688525,1187.4,3734.0
109,Albert Park,2,h,1340000.0,S,3.3,3206.0,1.0,0.0,136.0,,,Port Phillip,-37.846,144.9517,Southern Metropolitan,229.41803278688525,1187.4,3734.0
110,Albert Park,3,h,1801000.0,S,3.3,3206.0,1.0,1.0,202.0,,,Port Phillip,-37.8429,144.9493,Southern Metropolitan,229.41803278688525,1187.4,3734.0
111,Albert Park,3,h,1532000.0,S,3.3,3206.0,3.0,1.0,0.0,,,Port Phillip,-37.8415,144.9585,Southern Metropolitan,229.41803278688525,1187.4,3734.0
112,Albert Park,3,h,3755000.0,S,3.3,3206.0,2.0,2.0,325.0,,,Port Phillip,-37.8413,144.95,Southern Metropolitan,229.41803278688525,1187.4,3734.0
114,Albert Park,2,h,1750000.0,S,3.3,3206.0,1.0,1.0,162.0,,,Port Phillip,-37.8416,144.9488,Southern Metropolitan,229.41803278688525,1187.4,3734.0
116,Albert Park,3,h,2030000.0,S,3.3,3206.0,2.0,0.0,152.0,,,Port Phillip,-37.8488,144.9551,Southern Metropolitan,229.41803278688525,1187.4,3734.0
118,Albert Park,3,h,2800000.0,VB,3.3,3206.0,3.0,1.0,0.0,,,Port Phillip,-37.8399,144.9577,Southern Metropolitan,229.41803278688525,1187.4,3734.0
119,Albert Park,1,h,985000.0,S,3.3,3206.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,229.41803278688525,1187.4,3734.0
120,Alphington,4,h,2000000.0,S,6.4,3078.0,2.0,4.0,853.0,263.0,1930.0,Darebin,-37.7707,145.0318,Northern Metropolitan,111.20270270270272,605.0,2233.875
121,Alphington,3,h,1110000.0,S,6.4,3078.0,2.0,2.0,208.0,,2013.0,Yarra,-37.7854,145.0325,Northern Metropolitan,111.20270270270272,605.0,2233.875
122,Alphington,3,h,1492000.0,S,6.4,3078.0,2.0,2.0,411.0,,,Darebin,-37.7713,145.0279,Northern Metropolitan,111.20270270270272,605.0,2233.875
123,Alphington,4,h,1717500.0,S,6.4,3078.0,2.0,1.0,599.0,203.0,1925.0,Darebin,-37.7717,145.031,Northern Metropolitan,111.20270270270272,605.0,2233.875
124,Alphington,5,h,2840000.0,S,6.4,3078.0,4.0,4.0,809.0,165.0,1910.0,Darebin,-37.775,145.0268,Northern Metropolitan,111.20270270270272,605.0,2233.875
125,Alphington,2,u,525500.0,S,6.4,3078.0,1.0,1.0,88.0,60.0,1960.0,Darebin,-37.7791,145.0306,Northern Metropolitan,111.20270270270272,605.0,2233.875
126,Alphington,2,t,805000.0,S,6.4,3078.0,2.0,3.0,155.0,140.0,2004.0,Darebin,-37.7804,145.0308,Northern Metropolitan,111.20270270270272,605.0,2233.875
127,Alphington,2,u,465000.0,S,6.4,3078.0,1.0,1.0,0.0,,,Darebin,-37.7773,145.0314,Northern Metropolitan,111.20270270270272,605.0,2233.875
128,Alphington,3,h,2000000.0,PI,6.4,3078.0,3.0,2.0,686.0,,,Darebin,-37.78,145.0341,Northern Metropolitan,111.20270270270272,605.0,2233.875
129,Alphington,3,h,1540000.0,S,6.4,3078.0,1.0,2.0,592.0,,,Darebin,-37.7755,145.0288,Northern Metropolitan,111.20270270270272,605.0,2233.875
130,Alphington,2,u,820000.0,S,6.4,3078.0,1.0,1.0,183.0,,,Darebin,-37.7747,145.0264,Northern Metropolitan,111.20270270270272,605.0,2233.875
131,Alphington,4,h,1830000.0,S,6.4,3078.0,2.0,2.0,606.0,112.0,1970.0,Darebin,-37.7743,145.0316,Northern Metropolitan,111.20270270270272,605.0,2233.875
132,Alphington,4,h,2100000.0,S,6.4,3078.0,2.0,2.0,575.0,271.0,2008.0,Darebin,-37.7723,145.0319,Northern Metropolitan,111.20270270270272,605.0,2233.875
133,Alphington,3,h,865000.0,SP,6.4,3078.0,1.0,1.0,180.0,131.0,2010.0,Darebin,-37.7802,145.0243,Northern Metropolitan,111.20270270270272,605.0,2233.875
134,Alphington,2,u,390000.0,VB,6.4,3078.0,1.0,1.0,0.0,60.0,1960.0,Darebin,-37.7773,145.0314,Northern Metropolitan,111.20270270270272,605.0,2233.875
135,Alphington,2,t,650000.0,SP,6.4,3078.0,1.0,0.0,0.0,,,Yarra,-37.7848,145.025,Northern Metropolitan,111.20270270270272,605.0,2233.875
136,Alphington,2,u,512000.0,S,6.4,3078.0,1.0,1.0,0.0,61.0,1965.0,Darebin,-37.7805,145.0262,Northern Metropolitan,111.20270270270272,605.0,2233.875
137,Alphington,3,h,1165000.0,S,6.4,3078.0,1.0,2.0,979.0,,,Yarra,-37.7792,145.029,Northern Metropolitan,111.20270270270272,605.0,2233.875
138,Alphington,4,h,1900000.0,SP,6.4,3078.0,2.0,2.0,556.0,272.0,1930.0,Yarra,-37.7844,145.0225,Northern Metropolitan,111.20270270270272,605.0,2233.875
139,Alphington,3,h,1485000.0,SP,6.4,3078.0,0.0,0.0,597.0,,,Darebin,-37.7781,145.0284,Northern Metropolitan,111.20270270270272,605.0,2233.875
140,Alphington,4,h,1950000.0,S,6.4,3078.0,2.0,3.0,589.0,210.0,1920.0,Darebin,-37.7719,145.0309,Northern Metropolitan,111.20270270270272,605.0,2233.875
141,Altona,3,h,520000.0,VB,13.8,3018.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay,-37.87,144.825,Western Metropolitan,85.62162162162163,732.5,1550.5
142,Altona,5,h,1525000.0,S,13.8,3018.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,85.62162162162163,732.5,1550.5
143,Altona,2,t,720000.0,S,13.8,3018.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,85.62162162162163,732.5,1550.5
144,Altona,3,h,1120000.0,S,13.8,3018.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,85.62162162162163,732.5,1550.5
145,Altona,4,h,780000.0,PI,13.8,3018.0,1.0,4.0,655.0,,,Hobsons Bay,-37.868,144.8154,Western Metropolitan,85.62162162162163,732.5,1550.5
146,Altona,4,h,1780000.0,SP,13.8,3018.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay,-37.8681,144.819,Western Metropolitan,85.62162162162163,732.5,1550.5
147,Altona,3,u,630000.0,S,13.8,3018.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,85.62162162162163,732.5,1550.5
148,Altona,2,u,406000.0,SP,13.8,3018.0,1.0,1.0,65.0,,,Hobsons Bay,-37.8693,144.8171,Western Metropolitan,85.62162162162163,732.5,1550.5
149,Altona,3,h,660000.0,VB,13.8,3018.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,85.62162162162163,732.5,1550.5
150,Altona,3,h,683500.0,S,13.8,3018.0,1.0,1.0,530.0,,,Hobsons Bay,-37.8594,144.817,Western Metropolitan,85.62162162162163,732.5,1550.5
151,Altona,2,u,580000.0,S,13.8,3018.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,-37.8696,144.827,Western Metropolitan,85.62162162162163,732.5,1550.5
152,Altona,3,h,1335000.0,S,13.8,3018.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,85.62162162162163,732.5,1550.5
153,Altona,3,t,800000.0,SP,13.8,3018.0,2.0,2.0,280.0,,1997.0,Hobsons Bay,-37.8734,144.8143,Western Metropolitan,85.62162162162163,732.5,1550.5
154,Altona,2,u,510000.0,S,13.8,3018.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay,-37.8686,144.8182,Western Metropolitan,85.62162162162163,732.5,1550.5
155,Altona,4,h,1070000.0,S,13.8,3018.0,2.0,2.0,695.0,,,Hobsons Bay,-37.8733,144.8147,Western Metropolitan,85.62162162162163,732.5,1550.5
156,Altona,2,u,425000.0,S,13.8,3018.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay,-37.871,144.8185,Western Metropolitan,85.62162162162163,732.5,1550.5
157,Altona,3,u,605000.0,S,13.8,3018.0,2.0,2.0,230.0,,,Hobsons Bay,-37.8646,144.827,Western Metropolitan,85.62162162162163,732.5,1550.5
158,Altona,3,t,705000.0,S,13.8,3018.0,2.0,2.0,197.0,152.0,,Hobsons Bay,-37.8579,144.8181,Western Metropolitan,85.62162162162163,732.5,1550.5
159,Altona,2,u,391000.0,SP,13.8,3018.0,1.0,1.0,0.0,65.0,1965.0,Hobsons Bay,-37.8678,144.8384,Western Metropolitan,85.62162162162163,732.5,1550.5
160,Altona,2,u,440000.0,SP,13.8,3018.0,1.0,1.0,0.0,,,Hobsons Bay,-37.8659,144.83100000000005,Western Metropolitan,85.62162162162163,732.5,1550.5
161,Altona,4,h,845000.0,S,13.8,3018.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay,-37.8658,144.8155,Western Metropolitan,85.62162162162163,732.5,1550.5
162,Altona,3,t,743000.0,SP,13.8,3018.0,2.0,2.0,211.0,176.0,,Hobsons Bay,-37.8698,144.816,Western Metropolitan,85.62162162162163,732.5,1550.5
